code,time_zone_id,country,region
MEY,Asia/Kathmandu,Nepal,Pacific
YOG,America/Toronto,Canada,Canada
YEL,America/Toronto,Canada,Canada
INR,America/Detroit,United States,Domestic
YFH,America/Toronto,Canada,Canada
RDL,Africa/Cairo,Egypt,Africa
VCC,America/Sao_Paulo,Brazil,South America
CSP,America/Juneau,United States,Alaska
MKZ,Asia/Kuala_Lumpur,Malaysia,Pacific
MLC,America/Chicago,United States,Domestic
YFS,America/Yellowknife,Canada,Canada
GDB,Asia/Kolkata,India,Pacific
AEI,Europe/Madrid,Spain,Europe
LCO,Africa/Brazzaville,Congo,Africa
MLE,Indian/Maldives,Maldives,Pacific
AQG,Asia/Shanghai,China,Pacific
VBM,America/Anchorage,United States,Alaska
YHU,America/Montreal,Canada,Canada
YIV,America/Winnipeg,Canada,Canada
QMK,America/Godthab,Greenland,Other International
JCS,America/Fortaleza,Brazil,South America
AQI,Asia/Riyadh,Saudi Arabia,Middle East
YGW,America/Montreal,Canada,Canada
AQJ,Asia/Amman,Jordan,Middle East
YHF,America/Toronto,Canada,Canada
ATP,Pacific/Port_Moresby,Papua New Guinea,Pacific
AUP,Pacific/Port_Moresby,Papua New Guinea,Pacific
MLG,Asia/Jakarta,Indonesia,Pacific
LVI,Africa/Lusaka,Zambia,Africa
AHA,Asia/Tokyo,Japan,Pacific
AME,Africa/Maputo,Mozambique,Africa
BCZ,Australia/Darwin,Australia,Australia/New Zealand
AXO,Asia/Makassar,Indonesia,Pacific
MDN,America/Indiana/Indianapolis,United States,Domestic
YLR,America/Winnipeg,Canada,Canada
CNY,America/Denver,United States,Domestic
CTV,Africa/Luanda,Angola,Africa
CWP,Asia/Karachi,Pakistan,Pacific
YLJ,America/Regina,Canada,Canada
MDG,Asia/Shanghai,China,Pacific
BCP,Pacific/Port_Moresby,Papua New Guinea,Pacific
MEK,Africa/Casablanca,Morocco,Africa
JPO,America/Recife,Brazil,South America
JPE,America/Sao_Paulo,Brazil,South America
JPY,America/Sao_Paulo,Brazil,South America
YJF,America/Yellowknife,Canada,Canada
YCM,America/Toronto,Canada,Canada
BHL,America/Santa_Isabel,Mexico,Mexico/Central America
MEA,America/Sao_Paulo,Brazil,South America
MEF,Africa/Ndjamena,Chad,Africa
NNK,America/Anchorage,United States,Alaska
WTL,America/Anchorage,United States,Alaska
YPS,America/Halifax,Canada,Canada
OOD,Australia/Perth,Australia,Australia/New Zealand
YPR,America/Vancouver,Canada,Canada
VSK,America/Los_Angeles,United States,Domestic
BNF,America/Sitka,United States,Alaska
CGX,America/Chicago,United States,Domestic
CHW,Asia/Shanghai,China,Pacific
COD,America/Denver,United States,Domestic
MEG,Africa/Luanda,Angola,Africa
XOF,Europe/London,United Kingdom,Europe
MEP,Asia/Kuala_Lumpur,Malaysia,Pacific
AKV,America/Iqaluit,Canada,Canada
ANH,Pacific/Guadalcanal,Solomon Islands,Pacific
YKJ,America/Regina,Canada,Canada
YMG,America/Toronto,Canada,Canada
BDO,Asia/Jakarta,Indonesia,Pacific
YUD,America/Montreal,Canada,Canada
YFJ,America/Yellowknife,Canada,Canada
DSY,Asia/Phnom_Penh,Cambodia,Pacific
YPC,America/Yellowknife,Canada,Canada
BDQ,Asia/Kolkata,India,Pacific
LAK,America/Yellowknife,Canada,Canada
MEJ,America/New_York,United States,Domestic
EWR,America/New_York,United States,Domestic
MEQ,Asia/Jakarta,Indonesia,Pacific
YXN,America/Rankin_Inlet,Canada,Canada
IUP,America/Manaus,Brazil,South America
MEU,America/Santarem,Brazil,South America
RLD,America/Los_Angeles,United States,Domestic
LEG,Africa/Nouakchott,Mauritania,Africa
YSK,America/Iqaluit,Canada,Canada
MER,America/Los_Angeles,United States,Domestic
MES,Asia/Jakarta,Indonesia,Pacific
NOR,Atlantic/Reykjavik,Iceland,Europe
YCK,America/Yellowknife,Canada,Canada
MFG,Asia/Karachi,Pakistan,Pacific
MFI,America/Chicago,United States,Domestic
YSP,America/Toronto,Canada,Canada
YST,America/Winnipeg,Canada,Canada
YTA,America/Toronto,Canada,Canada
BXL,Pacific/Fiji,Fiji,Pacific
YTQ,America/Montreal,Canada,Canada
COH,Asia/Kolkata,India,Pacific
DDD,Indian/Maldives,Maldives,Pacific
YTW,Asia/Urumqi,China,Pacific
YGZ,America/Iqaluit,Canada,Canada
YLH,America/Toronto,Canada,Canada
DUN,America/Godthab,Greenland,Other International
YTL,America/Winnipeg,Canada,Canada
COK,Asia/Kolkata,India,Pacific
DWF,America/New_York,United States,Domestic
EFB,America/Juneau,United States,Alaska
JDE,Asia/Shanghai,China,Pacific
CYA,America/Port-au-Prince,Haiti,Caribbean
MFK,Asia/Taipei,"Taiwan, Province of China",Pacific
MEW,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
MFF,Africa/Libreville,Gabon,Africa
SPK,Asia/Tokyo,Japan,Pacific
YVM,America/Pangnirtung,Canada,Canada
MFS,America/Bogota,Colombia,South America
MFT,America/Lima,Peru,South America
WTC,America/New_York,United States,Domestic
MBN,Australia/Perth,Australia,Australia/New Zealand
MFQ,Africa/Niamey,Niger,Africa
AGZ,Africa/Johannesburg,South Africa,Africa
DBR,Asia/Kolkata,India,Pacific
DDC,America/Chicago,United States,Domestic
MFR,America/Los_Angeles,United States,Domestic
MZD,America/Guayaquil,Ecuador,South America
YPB,America/Vancouver,Canada,Canada
ZLT,America/Blanc-Sablon,Canada,Canada
LPB,America/La_Paz,"Bolivia, Plurinational State of",South America
YNL,America/Regina,Canada,Canada
DIO,America/Nome,United States,Alaska
YYL,America/Winnipeg,Canada,Canada
YYU,America/Toronto,Canada,Canada
EEA,America/Sao_Paulo,Brazil,South America
TKM,America/Guatemala,Guatemala,Mexico/Central America
ERH,Africa/Casablanca,Morocco,Africa
ERI,America/New_York,United States,Domestic
ERL,Asia/Shanghai,China,Pacific
EXT,Europe/London,United Kingdom,Europe
FFA,America/New_York,United States,Domestic
SUR,America/Toronto,Canada,Canada
XGL,America/Winnipeg,Canada,Canada
NEI,Asia/Vladivostok,Russian Federation,Europe
LPF,Asia/Shanghai,China,Pacific
KES,America/Winnipeg,Canada,Canada
YSI,America/Toronto,Canada,Canada
YTH,America/Winnipeg,Canada,Canada
BYX,Australia/Darwin,Australia,Australia/New Zealand
CGA,America/Sitka,United States,Alaska
WHB,Australia/Perth,Australia,Australia/New Zealand
LPT,Asia/Bangkok,Thailand,Pacific
LTK,Asia/Damascus,Syrian Arab Republic,Middle East
ZGI,America/Winnipeg,Canada,Canada
MAW,America/Chicago,United States,Domestic
AGL,Pacific/Port_Moresby,Papua New Guinea,Pacific
MAX,Africa/Dakar,Senegal,Africa
BFB,America/Anchorage,United States,Alaska
YZP,America/Vancouver,Canada,Canada
YZT,America/Vancouver,Canada,Canada
YTD,America/Winnipeg,Canada,Canada
ZPB,America/Winnipeg,Canada,Canada
MBA,Africa/Nairobi,Kenya,Africa
MGZ,Asia/Rangoon,Myanmar,Pacific
MHD,Asia/Tehran,"Iran, Islamic Republic of",Middle East
OBA,Australia/Brisbane,Australia,Australia/New Zealand
LBG,Europe/Paris,France,Europe
LBQ,Africa/Libreville,Gabon,Africa
CGC,Pacific/Port_Moresby,Papua New Guinea,Pacific
RNA,Pacific/Guadalcanal,Solomon Islands,Pacific
DLO,America/Sitka,United States,Alaska
EYP,America/Bogota,Colombia,South America
EYW,America/New_York,United States,Domestic
EZE,America/Argentina/Buenos_Aires,Argentina,South America
HCZ,Asia/Shanghai,China,Pacific
SDZ,Europe/London,United Kingdom,Europe
BVD,America/Nome,United States,Alaska
MLH,Europe/Zurich,Switzerland,Europe
ZST,America/Vancouver,Canada,Canada
DGE,Australia/Sydney,Australia,Australia/New Zealand
DGT,Asia/Manila,Philippines,Pacific
DWN,America/Chicago,United States,Domestic
FNA,Africa/Freetown,Sierra Leone,Africa
MNM,America/Menominee,United States,Domestic
MNO,Africa/Lubumbashi,"Congo, The Democratic Republic of the",Africa
MQT,America/Detroit,United States,Domestic
MHG,Europe/Berlin,Germany,Europe
MHH,America/Nassau,Bahamas,Caribbean
MHK,America/Chicago,United States,Domestic
MHQ,Europe/Mariehamn,Åland Islands,Other International
YCQ,America/Dawson_Creek,Canada,Canada
LDH,Australia/Lord_Howe,Australia,Australia/New Zealand
YED,America/Edmonton,Canada,Canada
MQQ,Africa/Ndjamena,Chad,Africa
MQS,America/St_Vincent,Saint Vincent and the Grenadines,Caribbean
LOZ,America/New_York,United States,Domestic
LPA,Atlantic/Canary,Spain,Europe
LOQ,Africa/Gaborone,Botswana,Africa
LPE,America/Bogota,Colombia,South America
LPI,Europe/Stockholm,Sweden,Europe
PRS,Pacific/Guadalcanal,Solomon Islands,Pacific
QJI,America/Godthab,Greenland,Other International
YAE,America/Vancouver,Canada,Canada
AFR,Pacific/Port_Moresby,Papua New Guinea,Pacific
AHI,Asia/Jayapura,Indonesia,Pacific
CBZ,America/Sitka,United States,Alaska
CMU,Pacific/Port_Moresby,Papua New Guinea,Pacific
FNB,Europe/Berlin,Germany,Europe
FNC,Atlantic/Madeira,Portugal,Europe
FND,Indian/Maldives,Maldives,Pacific
GOF,America/Chicago,United States,Domestic
HHP,Asia/Hong_Kong,Hong Kong,Pacific
HLT,Australia/Melbourne,Australia,Australia/New Zealand
MQU,America/Bogota,Colombia,South America
ADD,Africa/Addis_Ababa,Ethiopia,Africa
DVD,Indian/Antananarivo,Madagascar,Africa
MRB,America/New_York,United States,Domestic
MRO,Pacific/Auckland,New Zealand,Australia/New Zealand
MRQ,Asia/Manila,Philippines,Pacific
MTO,America/Chicago,United States,Domestic
MSO,America/Denver,United States,Domestic
MSP,America/Chicago,United States,Domestic
MSQ,Europe/Minsk,Belarus,Europe
LPG,America/Argentina/Buenos_Aires,Argentina,South America
LPJ,America/Caracas,"Venezuela, Bolivarian Republic of",South America
LPK,Europe/Moscow,Russian Federation,Europe
JOC,America/Los_Angeles,United States,Domestic
JSN,America/Los_Angeles,United States,Domestic
YNF,America/St_Johns,Canada,Canada
YNR,America/Winnipeg,Canada,Canada
YNE,America/Winnipeg,Canada,Canada
KKF,America/Nome,United States,Alaska
LPO,America/Chicago,United States,Domestic
LPX,Europe/Riga,Latvia,Europe
LPY,Europe/Paris,France,Europe
OCC,America/Guayaquil,Ecuador,South America
OCH,America/Chicago,United States,Domestic
KBK,America/Sitka,United States,Alaska
SGG,Asia/Kuching,Malaysia,Pacific
DJU,Atlantic/Reykjavik,Iceland,Europe
DKA,Africa/Lagos,Nigeria,Africa
HAE,America/Phoenix,United States,Domestic
HAP,Australia/Brisbane,Australia,Australia/New Zealand
HCB,America/Anchorage,United States,Alaska
ILY,Europe/London,United Kingdom,Europe
IMK,Asia/Kathmandu,Nepal,Pacific
IMQ,Asia/Tehran,"Iran, Islamic Republic of",Middle East
ABJ,Africa/Abidjan,Côte d'Ivoire,Africa
IXI,Asia/Kolkata,India,Pacific
WNC,America/Anchorage,United States,Alaska
JRD,America/Los_Angeles,United States,Domestic
NBP,America/New_York,United States,Domestic
LQK,America/New_York,United States,Domestic
LQM,America/Bogota,Colombia,South America
LRB,Africa/Maseru,Lesotho,Africa
LRT,Europe/Paris,France,Europe
LRU,America/Denver,United States,Domestic
IXJ,Asia/Kolkata,India,Pacific
AEK,Pacific/Port_Moresby,Papua New Guinea,Pacific
ARL,Africa/Ouagadougou,Burkina Faso,Africa
LRV,America/Caracas,"Venezuela, Bolivarian Republic of",South America
LSB,America/Denver,United States,Domestic
LSD,America/New_York,United States,Domestic
LSK,America/Denver,United States,Domestic
LSM,Asia/Kuching,Malaysia,Pacific
LSN,America/Los_Angeles,United States,Domestic
LSO,Europe/Paris,France,Europe
BWE,Europe/Berlin,Germany,Europe
CHI,America/Chicago,United States,Domestic
CKX,America/Anchorage,United States,Alaska
LSQ,America/Santiago,Chile,South America
LSV,America/Los_Angeles,United States,Domestic
CRY,Australia/Perth,Australia,Australia/New Zealand
CSL,America/Los_Angeles,United States,Domestic
DMM,Asia/Riyadh,Saudi Arabia,Middle East
ITO,Pacific/Honolulu,United States,Hawaii
ITP,America/Sao_Paulo,Brazil,South America
IWS,America/Chicago,United States,Domestic
IXA,Asia/Kolkata,India,Pacific
IXB,Asia/Kolkata,India,Pacific
IXC,Asia/Kolkata,India,Pacific
IXD,Asia/Kolkata,India,Pacific
IXE,Asia/Kolkata,India,Pacific
IXK,Asia/Kolkata,India,Pacific
MUV,America/New_York,United States,Domestic
LSW,Asia/Jakarta,Indonesia,Pacific
LSX,Asia/Jakarta,Indonesia,Pacific
IXM,Asia/Kolkata,India,Pacific
AAT,Asia/Urumqi,China,Pacific
ABB,Africa/Lagos,Nigeria,Africa
YCV,America/Montreal,Canada,Canada
AFS,Asia/Samarkand,Uzbekistan,Pacific
AIC,Pacific/Majuro,Marshall Islands,Pacific
XYP,Europe/Stockholm,Sweden,Europe
TRP,America/Anchorage,United States,Alaska
LSZ,Europe/Zagreb,Croatia,Europe
LTA,Africa/Johannesburg,South Africa,Africa
LTB,Australia/Hobart,Australia,Australia/New Zealand
LTC,Africa/Ndjamena,Chad,Africa
LTD,Africa/Tripoli,Libya,Africa
LRF,America/Chicago,United States,Domestic
LTG,Asia/Kathmandu,Nepal,Pacific
YMC,America/Montreal,Canada,Canada
LSC,America/Santiago,Chile,South America
LTI,Asia/Hovd,Mongolia,Pacific
IXR,Asia/Kolkata,India,Pacific
AGG,Pacific/Port_Moresby,Papua New Guinea,Pacific
IXU,Asia/Kolkata,India,Pacific
LSE,America/Chicago,United States,Domestic
LSL,America/Costa_Rica,Costa Rica,Mexico/Central America
LSP,America/Caracas,"Venezuela, Bolivarian Republic of",South America
CIV,America/Sitka,United States,Alaska
CLC,America/Chicago,United States,Domestic
CRJ,Australia/Adelaide,Australia,Australia/New Zealand
CWS,America/Los_Angeles,United States,Domestic
DMO,America/Chicago,United States,Domestic
DRS,Europe/Berlin,Germany,Europe
IXW,Asia/Kolkata,India,Pacific
IXY,Asia/Kolkata,India,Pacific
IXZ,Asia/Kolkata,India,Pacific
JGA,Asia/Kolkata,India,Pacific
JGB,Asia/Kolkata,India,Pacific
JGD,Asia/Shanghai,China,Pacific
NDP,America/Chicago,United States,Domestic
LSS,America/Guadeloupe,Guadeloupe,Caribbean
LST,Australia/Hobart,Australia,Australia/New Zealand
LSY,Australia/Sydney,Australia,Australia/New Zealand
LVA,Europe/Paris,France,Europe
JOJ,America/Cambridge_Bay,Canada,Canada
LUW,Asia/Makassar,Indonesia,Pacific
LVB,America/Sao_Paulo,Brazil,South America
LVL,America/New_York,United States,Domestic
LVM,America/Denver,United States,Domestic
LVS,America/Denver,United States,Domestic
NIE,America/Anchorage,United States,Alaska
JSH,Europe/Athens,Greece,Europe
JSI,Europe/Athens,Greece,Europe
KAB,Africa/Harare,Zimbabwe,Africa
LBE,America/New_York,United States,Domestic
LBF,America/Chicago,United States,Domestic
ZFB,America/Blanc-Sablon,Canada,Canada
ALM,America/Denver,United States,Domestic
AOL,America/Argentina/Cordoba,Argentina,South America
ASH,America/New_York,United States,Domestic
BGL,Asia/Kathmandu,Nepal,Pacific
BGT,America/Phoenix,United States,Domestic
BJO,America/La_Paz,"Bolivia, Plurinational State of",South America
CSW,America/Porto_Velho,Brazil,South America
DAO,Pacific/Port_Moresby,Papua New Guinea,Pacific
FCT,America/Los_Angeles,United States,Domestic
FLU,America/New_York,United States,Domestic
JCX,America/Los_Angeles,United States,Domestic
JHW,America/New_York,United States,Domestic
JKH,Europe/Athens,Greece,Europe
JKL,Europe/Athens,Greece,Europe
JKR,Asia/Kathmandu,Nepal,Pacific
AMU,Pacific/Port_Moresby,Papua New Guinea,Pacific
AMY,Indian/Antananarivo,Madagascar,Africa
AOB,Pacific/Port_Moresby,Papua New Guinea,Pacific
DGA,America/Belize,Belize,Mexico/Central America
ZFZ,America/New_York,United States,Domestic
LDI,Africa/Dar_es_Salaam,"Tanzania, United Republic of",Africa
BOF,America/New_York,United States,Domestic
LDJ,America/New_York,United States,Domestic
LWK,Europe/London,United Kingdom,Europe
LDY,Europe/London,United Kingdom,Europe
BAU,America/Sao_Paulo,Brazil,South America
DGK,Africa/Maputo,Mozambique,Africa
LEJ,Europe/Berlin,Germany,Europe
COL,Europe/London,United Kingdom,Europe
CUK,America/Belize,Belize,Mexico/Central America
LPW,America/Sitka,United States,Alaska
LFT,America/Chicago,United States,Domestic
LTH,America/Los_Angeles,United States,Domestic
LSR,America/Nome,United States,Alaska
LWA,Asia/Manila,Philippines,Pacific
ADC,Pacific/Port_Moresby,Papua New Guinea,Pacific
AFT,Pacific/Guadalcanal,Solomon Islands,Pacific
AGQ,Europe/Athens,Greece,Europe
AGV,America/Caracas,"Venezuela, Bolivarian Republic of",South America
AGX,Asia/Kolkata,India,Pacific
AIE,Pacific/Port_Moresby,Papua New Guinea,Pacific
LXG,Asia/Vientiane,Lao People's Democratic Republic,Pacific
DOK,Europe/Kiev,Ukraine,Europe
DUS,Europe/Berlin,Germany,Europe
FIE,Europe/London,United Kingdom,Europe
HDA,America/Sitka,United States,Alaska
NQT,Europe/London,United Kingdom,Europe
OHE,Asia/Shanghai,China,Pacific
OHH,Asia/Srednekolymsk,Russian Federation,Europe
NWS,America/New_York,United States,Domestic
WOO,America/Anchorage,United States,Alaska
LXN,America/Chicago,United States,Domestic
TIS,Australia/Brisbane,Australia,Australia/New Zealand
LXR,Africa/Cairo,Egypt,Africa
DDI,Australia/Brisbane,Australia,Australia/New Zealand
DOI,Pacific/Port_Moresby,Papua New Guinea,Pacific
LXS,Europe/Athens,Greece,Europe
LFW,Africa/Lome,Togo,Africa
LGA,America/New_York,United States,Domestic
LGB,America/Los_Angeles,United States,Domestic
AIY,America/New_York,United States,Domestic
BAJ,Pacific/Port_Moresby,Papua New Guinea,Pacific
LGD,America/Los_Angeles,United States,Domestic
LGG,Europe/Brussels,Belgium,Europe
LGI,America/Nassau,Bahamas,Caribbean
LGK,Asia/Kuala_Lumpur,Malaysia,Pacific
LLE,Africa/Johannesburg,South Africa,Africa
LXU,Africa/Lusaka,Zambia,Africa
LLJ,Asia/Jakarta,Indonesia,Pacific
LXV,America/Denver,United States,Domestic
SIL,Pacific/Port_Moresby,Papua New Guinea,Pacific
LLO,Asia/Makassar,Indonesia,Pacific
LLT,Africa/Luanda,Angola,Africa
AKH,Asia/Riyadh,Saudi Arabia,Middle East
YDH,America/St_Johns,Canada,Canada
AQM,America/Porto_Velho,Brazil,South America
ARP,Pacific/Port_Moresby,Papua New Guinea,Pacific
ASE,America/Denver,United States,Domestic
ASG,Pacific/Auckland,New Zealand,Australia/New Zealand
ASQ,America/Los_Angeles,United States,Domestic
ASU,America/Asuncion,Paraguay,South America
ATA,America/Lima,Peru,South America
ATT,America/Nome,United States,Alaska
AUE,Africa/Cairo,Egypt,Africa
AUW,America/Chicago,United States,Domestic
AUZ,America/Chicago,United States,Domestic
AVI,America/Havana,Cuba,Caribbean
HEL,Europe/Helsinki,Finland,Europe
JGC,America/Phoenix,United States,Domestic
YDS,America/Vancouver,Canada,Canada
BRR,Europe/London,United Kingdom,Europe
AED,America/Anchorage,United States,Alaska
YCJ,America/Vancouver,Canada,Canada
YDK,America/Toronto,Canada,Canada
LLW,Africa/Blantyre,Malawi,Africa
ONN,America/Anchorage,United States,Alaska
PNS,America/Chicago,United States,Domestic
PBA,America/Anchorage,United States,Alaska
CWO,America/Chicago,United States,Domestic
YMR,America/Vancouver,Canada,Canada
JRE,America/New_York,United States,Domestic
YNK,America/Vancouver,Canada,Canada
TEK,America/Anchorage,United States,Alaska
LPL,Europe/London,United Kingdom,Europe
LPP,Europe/Helsinki,Finland,Europe
AGM,America/Godthab,Greenland,Other International
ATD,Pacific/Guadalcanal,Solomon Islands,Pacific
AVK,Asia/Ulaanbaatar,Mongolia,Pacific
AVN,Europe/Paris,France,Europe
AYY,Asia/Colombo,Sri Lanka,Pacific
LPQ,Asia/Vientiane,Lao People's Democratic Republic,Pacific
SJX,America/Belize,Belize,Mexico/Central America
SAH,Asia/Aden,Yemen,Middle East
DGB,America/Anchorage,United States,Alaska
FIV,America/Juneau,United States,Alaska
FRP,America/Juneau,United States,Alaska
SAL,America/El_Salvador,El Salvador,Mexico/Central America
SAN,America/Los_Angeles,United States,Domestic
CDZ,Europe/Madrid,Spain,Europe
AUB,America/Cuiaba,Brazil,South America
LPU,Asia/Makassar,Indonesia,Pacific
PGP,Africa/Sao_Tome,Sao Tome and Principe,Africa
PID,America/Nassau,Bahamas,Caribbean
LIJ,America/Sitka,United States,Alaska
PII,America/Anchorage,United States,Alaska
SLZ,America/Fortaleza,Brazil,South America
SMF,America/Los_Angeles,United States,Domestic
LRA,Europe/Athens,Greece,Europe
LLU,America/Godthab,Greenland,Other International
QNY,America/New_York,United States,Domestic
LRD,America/Chicago,United States,Domestic
SMS,Indian/Antananarivo,Madagascar,Africa
AUV,Pacific/Port_Moresby,Papua New Guinea,Pacific
AVO,America/New_York,United States,Domestic
AVV,Australia/Melbourne,Australia,Australia/New Zealand
AWR,Pacific/Port_Moresby,Papua New Guinea,Pacific
AWZ,Asia/Tehran,"Iran, Islamic Republic of",Middle East
DOF,America/Sitka,United States,Alaska
EMB,America/Los_Angeles,United States,Domestic
SZC,America/Costa_Rica,Costa Rica,Mexico/Central America
EWD,America/Anchorage,United States,Alaska
HBC,America/Sitka,United States,Alaska
SOO,Europe/Stockholm,Sweden,Europe
SOE,Africa/Brazzaville,Congo,Africa
STL,America/Chicago,United States,Domestic
STP,America/Chicago,United States,Domestic
STT,America/St_Thomas,"Virgin Islands, U.S.",Caribbean
STV,Asia/Kolkata,India,Pacific
STX,America/St_Thomas,"Virgin Islands, U.S.",Caribbean
SUB,Asia/Jakarta,Indonesia,Pacific
SUE,America/Chicago,United States,Domestic
SUF,Europe/Rome,Italy,Europe
SUG,Asia/Manila,Philippines,Pacific
SXL,Europe/Dublin,Ireland,Europe
CIB,America/Los_Angeles,United States,Domestic
TON,Pacific/Port_Moresby,Papua New Guinea,Pacific
YNX,America/Yellowknife,Canada,Canada
DDG,Asia/Shanghai,China,Pacific
DEI,Indian/Mahe,Seychelles,Africa
BAM,America/Los_Angeles,United States,Domestic
PRF,America/Anchorage,United States,Alaska
SKS,Europe/Copenhagen,Denmark,Europe
PTL,America/Anchorage,United States,Alaska
PVY,America/Anchorage,United States,Alaska
SSW,America/Los_Angeles,United States,Domestic
TNK,America/Anchorage,United States,Alaska
LYN,Europe/Paris,France,Europe
LYP,Asia/Karachi,Pakistan,Pacific
SZF,Europe/Istanbul,Türkiye,Europe
SZN,America/Los_Angeles,United States,Domestic
SZX,Asia/Shanghai,China,Pacific
LYS,Europe/Paris,France,Europe
AJN,Indian/Comoro,Comoros,Africa
AKM,Africa/Ndjamena,Chad,Africa
AXD,Europe/Athens,Greece,Europe
AYX,America/Lima,Peru,South America
AZJ,Asia/Shanghai,China,Pacific
AZN,Asia/Tashkent,Uzbekistan,Pacific
AZO,America/Detroit,United States,Domestic
BAI,America/Costa_Rica,Costa Rica,Mexico/Central America
SVP,Africa/Luanda,Angola,Africa
SWD,America/Anchorage,United States,Alaska
SYH,Asia/Kathmandu,Nepal,Pacific
SYI,America/Chicago,United States,Domestic
SYJ,Asia/Tehran,"Iran, Islamic Republic of",Middle East
SYM,Asia/Shanghai,China,Pacific
DGF,America/Vancouver,Canada,Canada
BBY,Africa/Bangui,Central African Republic,Africa
BKA,Europe/Moscow,Russian Federation,Europe
PNF,America/Anchorage,United States,Alaska
FAQ,Pacific/Port_Moresby,Papua New Guinea,Pacific
QSG,Europe/Copenhagen,Denmark,Europe
RLA,America/Chicago,United States,Domestic
SXC,America/Los_Angeles,United States,Domestic
GLV,America/Nome,United States,Alaska
LZO,Asia/Shanghai,China,Pacific
GST,America/Juneau,United States,Alaska
LZY,Asia/Shanghai,China,Pacific
MBJ,America/Jamaica,Jamaica,Caribbean
MBL,America/Detroit,United States,Domestic
MBO,Asia/Manila,Philippines,Pacific
BZS,America/New_York,United States,Domestic
BAO,Asia/Bangkok,Thailand,Pacific
BAQ,America/Bogota,Colombia,South America
BAT,America/Sao_Paulo,Brazil,South America
BBJ,Europe/Berlin,Germany,Europe
BBP,Europe/London,United Kingdom,Europe
BBQ,America/Antigua,Antigua and Barbuda,Caribbean
BBW,America/Chicago,United States,Domestic
BBX,America/New_York,United States,Domestic
BCA,America/Havana,Cuba,Caribbean
